<2017-10-27T14:02:09> : 127.0.0.1:41064 <GET> <http://127.0.0.1:59513/>:<200 OK>
<2017-10-27T14:02:17> : 127.0.0.1:41072 <HEAD> <http://127.0.0.1:59513/>:<200 OK>
<2017-10-27T14:02:32> : 127.0.0.1:41084 <POST> <http://127.0.0.1:59513/>:<201 Created>
<2017-10-27T14:02:39> : 127.0.0.1:41098 <DELETE> <http://127.0.0.1:59513/>:<501 Not Implemented>
<2017-10-27T14:02:53> : 127.0.0.1:41118 <OPTIONS> <http://127.0.0.1:59513/>:<501 Not Implemented>
<2017-10-27T14:03:01> : 127.0.0.1:41138 <PUT> <http://127.0.0.1:59513/>:<501 Not Implemented>
<2017-10-27T14:03:07> : 127.0.0.1:41146 <CONNECT> <http://127.0.0.1:59513/>:<501 Not Implemented>
<2017-10-27T14:03:14> : 127.0.0.1:41158 <TRACE> <http://127.0.0.1:59513/>:<501 Not Implemented>
<2017-10-27T14:03:19> : 127.0.0.1:41160 <NONSENSE> <http://127.0.0.1:59513/>:<501 Not Implemented>
<2017-10-31T13:21:00> : 127.0.0.1:36534 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36538 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36546 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36554 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36554 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36554 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36558 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36562 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36606 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36682 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36682 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36682 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36682 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36682 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36682 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36694 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36706 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36706 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36706 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36726 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36734 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36734 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36746 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36754 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36790 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36798 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36798 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36798 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36838 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36838 <GET> <http://localhost:59513/>:<200 OK>
<2017-10-31T13:21:00> : 127.0.0.1:36842 <GET> <http://localhost:59513/>:<200 OK>
